"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","2969","49854","43765","-188","4","0","0","0","0","52","7","15","7"
"CondiserEnemyPosition","0","0","5566","111370","98944","-12","4","0","0","0","0","52","9","23","8"
"ConsiderSelfOnly","0","0","1590","26792","21605","-176","4","0","0","0","0","59","2","30","4"
"CondiserEnemyPosition","0","0","13122","255258","224869","-22","4","0","0","0","0","54","25","21","7"
"ConsiderSelfOnly","0","0","2731","69395","61554","-154","4","0","0","0","0","59","10","11","8"
"CondiserEnemyPosition","0","0","12128","238682","210535","6","4","0","0","0","0","58","21","21","7"
"ConsiderSelfOnly","0","0","3779","69492","57691","-160","4","0","0","0","0","65","7","23","5"
"CondiserEnemyPosition","0","0","26526","519607","456531","6","4","0","0","0","0","66","32","28","7"
"ConsiderSelfOnly","0","0","5682","109426","91864","-138","4","0","0","0","0","71","10","23","5"
"CondiserEnemyPosition","0","0","15957","265867","221566","4","4","0","0","0","0","66","22","29","5"
"ConsiderSelfOnly","0","0","2692","45087","36393","-142","4","0","0","0","0","72","4","26","4"
"CondiserEnemyPosition","0","0","21842","432502","381937","-14","4","0","0","0","0","68","19","36","7"
"ConsiderSelfOnly","0","0","3460","46247","34052","-122","4","0","0","0","0","71","4","37","2"
"CondiserEnemyPosition","0","0","8789","163312","141037","-18","4","0","0","0","0","65","9","36","6"
"ConsiderSelfOnly","0","0","9317","160061","130797","-98","4","0","0","0","0","65","12","36","4"
"CondiserEnemyPosition","0","0","12875","212059","174302","16","4","0","0","0","0","66","11","48","4"
"ConsiderSelfOnly","0","0","1571","20409","15606","-102","4","0","0","0","0","59","2","31","3"
"CondiserEnemyPosition","0","0","31325","583751","501677","16","4","0","0","0","0","64","31","39","6"
"ConsiderSelfOnly","0","0","5584","124724","108838","-86","4","0","0","0","0","54","14","19","7"
"CondiserEnemyPosition","0","0","56633","896665","730036","46","4","0","0","0","0","78","40","51","4"
"ConsiderSelfOnly","0","0","2008","26120","19960","-104","4","0","0","0","0","61","2","33","3"
"CondiserEnemyPosition","0","0","14121","240787","200241","10","4","0","0","0","0","69","13","41","5"
"ConsiderSelfOnly","0","0","4873","109776","96301","-86","4","0","0","0","0","54","12","18","7"
"CondiserEnemyPosition","0","0","34128","568675","468914","52","4","0","0","0","0","75","26","48","4"
"ConsiderSelfOnly","0","0","4603","123724","110367","-100","4","0","0","0","0","52","17","13","8"
"CondiserEnemyPosition","0","0","7011","113403","92344","16","4","0","0","0","0","82","6","38","4"
"ConsiderSelfOnly","0","0","5125","106787","92032","-116","4","0","0","0","0","60","12","19","6"
"CondiserEnemyPosition","0","0","33614","502161","400950","36","4","0","0","0","0","85","22","51","4"
"ConsiderSelfOnly","0","0","5321","80652","64999","-112","4","0","0","0","0","58","9","27","4"
"CondiserEnemyPosition","0","0","38941","601834","488883","48","4","0","0","0","0","78","22","63","4"
"ConsiderSelfOnly","0","0","2112","38430","32108","-108","4","0","0","0","0","53","4","24","5"
"CondiserEnemyPosition","0","0","37926","589234","475758","54","4","0","0","0","0","69","30","53","4"
"ConsiderSelfOnly","0","0","4301","71090","58015","-100","4","0","0","0","0","58","7","29","4"
"CondiserEnemyPosition","0","0","8895","141971","116270","44","4","0","0","0","0","66","9","38","4"
"ConsiderSelfOnly","0","0","8993","210861","186106","-94","4","0","0","0","0","65","20","17","7"
"CondiserEnemyPosition","0","0","6394","95786","73990","44","4","0","0","0","0","65","9","36","3"
"ConsiderSelfOnly","0","0","2882","66903","58474","-136","4","0","0","0","0","61","8","14","7"
"CondiserEnemyPosition","0","0","7352","118142","94018","70","4","0","0","0","0","64","9","37","4"
"ConsiderSelfOnly","0","0","3105","66999","57611","-128","4","0","0","0","0","59","6","22","6"
"CondiserEnemyPosition","0","0","1660","22020","16503","60","4","0","0","0","0","64","2","37","3"
"ConsiderSelfOnly","0","0","3414","65464","55667","-112","4","0","0","0","0","56","10","15","6"
"CondiserEnemyPosition","0","0","12487","209552","172025","86","4","0","0","0","0","65","17","32","4"
"ConsiderSelfOnly","0","0","11214","196213","163284","-104","4","0","0","0","0","61","24","21","5"
"CondiserEnemyPosition","0","0","4338","67838","54452","88","4","0","0","0","0","60","5","38","4"
"ConsiderSelfOnly","0","0","17190","350319","302012","-122","4","0","0","0","0","57","45","17","6"
"CondiserEnemyPosition","0","0","15733","245961","193246","144","4","0","0","0","0","62","21","39","3"
"ConsiderSelfOnly","0","0","7387","149361","129108","-148","4","0","0","0","0","54","18","18","6"
"CondiserEnemyPosition","0","0","26432","471572","392185","154","4","0","0","0","0","63","27","45","5"
"ConsiderSelfOnly","0","0","2699","57834","49931","-138","4","0","0","0","0","52","9","15","6"
