"player","score of CondiserEnemyPosition","score of ConsiderSelfOnly","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"CondiserEnemyPosition","0","0","18951","295279","253058","0","4","0","0","0","0","52","23","33","6"
"ConsiderSelfOnly","0","0","2063","51172","45824","-188","4","0","0","0","0","52","6","15","9"
"CondiserEnemyPosition","0","0","24375","538672","493579","2","4","0","0","0","0","55","21","37","11"
"ConsiderSelfOnly","0","0","4822","118889","105362","-176","4","0","0","0","0","52","18","12","8"
"CondiserEnemyPosition","0","0","26241","563170","511323","10","4","0","0","0","0","62","20","40","10"
"ConsiderSelfOnly","0","0","4909","105505","91308","-176","4","0","0","0","0","55","14","17","6"
"CondiserEnemyPosition","0","0","19730","391012","347278","38","4","0","0","0","0","66","15","42","8"
"ConsiderSelfOnly","0","0","18980","419203","365855","-182","4","0","0","0","0","59","37","23","7"
"CondiserEnemyPosition","0","0","18349","348506","305598","48","4","0","0","0","0","77","12","43","7"
"ConsiderSelfOnly","0","0","3228","57014","46939","-174","4","0","0","0","0","55","6","25","4"
"CondiserEnemyPosition","0","0","16813","281753","237443","68","4","0","0","0","0","67","17","36","5"
"ConsiderSelfOnly","0","0","4205","82857","70306","-158","4","0","0","0","0","54","9","24","5"
"CondiserEnemyPosition","0","0","6625","113557","95789","68","4","0","0","0","0","61","10","28","5"
"ConsiderSelfOnly","0","0","5705","124059","108018","-148","4","0","0","0","0","54","13","21","7"
"CondiserEnemyPosition","0","0","11652","199858","168219","88","4","0","0","0","0","64","16","28","5"
"ConsiderSelfOnly","0","0","5057","102930","88606","-140","4","0","0","0","0","58","11","19","6"
"CondiserEnemyPosition","0","0","6511","111842","92828","110","4","0","0","0","0","61","9","31","5"
"ConsiderSelfOnly","0","0","11213","197657","166993","-140","4","0","0","0","0","63","25","18","5"
"CondiserEnemyPosition","0","0","16501","261235","215073","114","4","0","0","0","0","62","13","53","4"
"ConsiderSelfOnly","0","0","7461","159407","139290","-132","4","0","0","0","0","64","22","13","7"
"CondiserEnemyPosition","0","0","8223","139496","116368","108","4","0","0","0","0","65","11","28","5"
"ConsiderSelfOnly","0","0","19389","327916","275803","-118","4","0","0","0","0","67","38","19","5"
"CondiserEnemyPosition","0","0","3782","62825","52100","132","4","0","0","0","0","57","6","28","5"
"ConsiderSelfOnly","0","0","32077","549050","464939","-136","4","0","0","0","0","73","44","24","5"
"CondiserEnemyPosition","0","0","11146","204343","171295","194","4","0","0","0","0","54","20","29","5"
"ConsiderSelfOnly","0","0","15089","387203","352298","-200","4","0","0","0","0","69","42","10","11"
"CondiserEnemyPosition","0","0","13027","261897","226798","198","4","0","0","0","0","61","12","43","6"
"ConsiderSelfOnly","0","0","18142","399206","355115","-174","4","0","0","0","0","66","42","14","8"
"CondiserEnemyPosition","0","0","18934","355767","297790","232","4","0","0","0","0","68","19","42","5"
"ConsiderSelfOnly","0","0","28735","699296","634773","-216","4","0","0","0","0","68","51","17","10"
"CondiserEnemyPosition","1","0","5054","80180","64001","254","4","0","0","0","0","67","6","35","4"
"ConsiderSelfOnly","1","1","34887","565783","467770","-978","4","0","0","0","0","76","44","28","4"
"CondiserEnemyPosition","2","1","2820","45432","35655","242","4","0","0","0","0","67","5","27","3"
"ConsiderSelfOnly","2","1","46986","814059","662748","-1012","4","0","0","0","0","76","53","36","4"
"CondiserEnemyPosition","2","1","6109","146048","126272","982","4","0","0","0","0","64","11","25","6"
"ConsiderSelfOnly","2","1","36964","632907","520578","-1010","4","0","0","0","0","69","44","35","4"
"CondiserEnemyPosition","2","1","13998","309766","256174","1020","4","0","0","0","0","58","22","40","4"
"ConsiderSelfOnly","2","1","20114","335112","275236","-1014","4","0","0","0","0","63","28","32","4"
"CondiserEnemyPosition","2","1","6043","128283","102880","1038","4","0","0","0","0","52","13","33","4"
"ConsiderSelfOnly","2","1","10484","254583","225710","-1026","4","0","0","0","0","59","26","17","8"
"CondiserEnemyPosition","2","1","4940","105940","85583","1046","4","0","0","0","0","56","11","31","4"
"ConsiderSelfOnly","2","1","12302","275793","240246","-1054","4","0","0","0","0","59","37","14","7"
"CondiserEnemyPosition","2","1","6741","147038","117592","1074","4","0","0","0","0","60","14","33","4"
"ConsiderSelfOnly","2","1","5638","111297","95213","-1054","4","0","0","0","0","57","8","31","6"
