"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","0","0","3518","54531","45759","0","4","0","0","0","0","44","18","9","5"
"PapadopoulosReimplementation","0","0","6286","104667","92521","-6","4","0","0","0","0","44","14","18","8"
"AbaProReimplementation","0","0","4029","55540","42399","0","4","0","0","0","0","52","10","22","3"
"PapadopoulosReimplementation","0","0","13528","226355","197500","-6","4","0","0","0","0","51","24","21","7"
"AbaProReimplementation","0","0","5648","77691","59571","0","4","0","0","0","0","60","12","23","3"
"PapadopoulosReimplementation","0","0","34071","688607","623813","18","4","0","0","0","0","54","44","25","10"
"AbaProReimplementation","0","0","7385","108235","85175","2","4","0","0","0","0","67","14","22","3"
"PapadopoulosReimplementation","0","0","32840","719819","662163","22","4","0","0","0","0","58","33","28","11"
"AbaProReimplementation","0","0","8495","136371","107547","3","4","0","0","0","0","71","15","25","3"
"PapadopoulosReimplementation","0","0","13438","261268","235793","-64","4","0","0","0","0","69","12","28","9"
"AbaProReimplementation","0","0","7254","123632","98836","3","4","0","0","0","0","67","15","22","4"
"PapadopoulosReimplementation","0","0","20755","402410","357666","-40","4","0","0","0","0","60","30","23","8"
"AbaProReimplementation","0","0","11577","155581","120804","4","4","0","0","0","0","67","18","26","3"
"PapadopoulosReimplementation","0","0","33285","648829","578631","8","4","0","0","0","0","55","28","43","8"
"AbaProReimplementation","0","0","5369","92976","74903","3","4","0","0","0","0","60","13","21","4"
"PapadopoulosReimplementation","0","0","16483","306238","270159","-52","4","0","0","0","0","62","16","33","7"
"AbaProReimplementation","0","0","18981","271160","209622","5","4","0","0","0","0","59","30","32","3"
"PapadopoulosReimplementation","0","0","35741","596727","512585","-8","4","0","0","0","0","58","30","46","6"
"AbaProReimplementation","0","0","11011","206875","171495","4","4","0","0","0","0","58","29","19","5"
"PapadopoulosReimplementation","0","0","18877","335521","290435","-12","4","0","0","0","0","64","13","52","6"
"AbaProReimplementation","0","0","1769","29868","23507","1","4","0","0","0","0","59","2","40","3"
"PapadopoulosReimplementation","0","0","27029","469310","408707","-54","4","0","0","0","0","69","19","44","6"
"AbaProReimplementation","0","0","5182","85434","68850","4","4","0","0","0","0","63","8","29","4"
"PapadopoulosReimplementation","0","0","26726","486528","420619","4","4","0","0","0","0","66","26","36","6"
"AbaProReimplementation","0","0","11669","196449","156668","5","4","0","0","0","0","67","21","26","4"
"PapadopoulosReimplementation","0","0","18294","294807","252712","-72","4","0","0","0","0","64","12","51","6"
"AbaProReimplementation","0","0","25026","393819","314020","5","4","0","0","0","0","62","46","26","4"
"PapadopoulosReimplementation","0","0","105734","2047232","1832830","-28","4","0","0","0","0","73","47","61","8"
"AbaProReimplementation","0","0","10456","163423","130967","5","4","0","0","0","0","69","18","24","4"
"PapadopoulosReimplementation","0","0","125183","2554623","2313127","-16","4","0","0","0","0","75","50","63","9"
"AbaProReimplementation","0","0","12144","188001","148784","5","4","0","0","0","0","64","22","26","3"
"PapadopoulosReimplementation","0","0","17403","285535","239443","-4","4","0","0","0","0","64","17","39","5"
"AbaProReimplementation","0","0","5016","86074","70072","6","4","0","0","0","0","71","11","17","4"
"PapadopoulosReimplementation","0","0","43587","856136","760073","-32","4","0","0","0","0","65","26","53","8"
"AbaProReimplementation","0","0","10384","143688","107958","6","4","0","0","0","0","64","12","43","3"
"PapadopoulosReimplementation","0","0","58628","1058340","928013","-52","4","0","0","0","0","61","40","51","7"
"AbaProReimplementation","0","0","36372","517801","399164","8","4","0","0","0","0","65","42","41","3"
"PapadopoulosReimplementation","0","0","74987","1328587","1167772","-62","4","0","0","0","0","66","44","53","7"
"AbaProReimplementation","0","0","11093","181512","139720","8","4","0","0","0","0","72","13","43","3"
"PapadopoulosReimplementation","0","0","58800","1327770","1206570","-46","4","0","0","0","0","64","54","33","10"
"AbaProReimplementation","0","0","32726","486465","370878","10","4","0","0","0","0","73","37","41","3"
"PapadopoulosReimplementation","0","0","41249","949340","869775","-108","4","0","0","0","0","65","35","33","11"
"AbaProReimplementation","0","0","3391","36850","24223","10","4","0","0","0","0","68","3","56","1"
"PapadopoulosReimplementation","0","0","10021","190411","165460","-88","4","0","0","0","0","54","20","21","6"
"AbaProReimplementation","0","0","9233","171658","139247","11","4","0","0","0","0","63","22","22","4"
"PapadopoulosReimplementation","0","0","41718","861129","773406","-106","4","0","0","0","0","61","37","37","9"
"AbaProReimplementation","0","0","14621","216242","161483","12","4","0","0","0","0","63","18","46","3"
"PapadopoulosReimplementation","0","0","45241","894952","800322","-124","4","0","0","0","0","66","34","41","8"
"AbaProReimplementation","0","0","3960","67042","51979","10","4","0","0","0","0","56","5","47","3"
"PapadopoulosReimplementation","0","0","24001","428790","364715","-74","4","0","0","0","0","58","26","40","5"
"AbaProReimplementation","0","0","4482","94759","77215","11","4","0","0","0","0","60","15","18","4"
"PapadopoulosReimplementation","0","0","30517","450998","366607","-94","4","0","0","0","0","61","33","40","4"
"AbaProReimplementation","0","0","16485","282243","218837","13","4","0","0","0","0","60","30","33","3"
"PapadopoulosReimplementation","0","0","32728","640831","570636","-118","4","0","0","0","0","52","36","36","8"
"AbaProReimplementation","0","0","13422","194951","144760","14","4","0","0","0","0","58","23","36","2"
