"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","0","0","3496","54531","45759","0","4","0","0","0","0","44","18","9","5"
"PapadopoulosReimplementation","0","0","6300","104667","92521","-6","4","0","0","0","0","44","14","18","8"
"AbaProReimplementation","0","0","4030","55540","42399","0","4","0","0","0","0","52","10","22","3"
"PapadopoulosReimplementation","0","0","13521","226355","197500","-6","4","0","0","0","0","51","24","21","7"
"AbaProReimplementation","0","0","5642","77691","59571","0","4","0","0","0","0","60","12","23","3"
"PapadopoulosReimplementation","0","0","34032","688607","623813","18","4","0","0","0","0","54","44","25","10"
"AbaProReimplementation","0","0","7342","108235","85175","2","4","0","0","0","0","67","14","22","3"
"PapadopoulosReimplementation","0","0","32842","719819","662163","22","4","0","0","0","0","58","33","28","11"
"AbaProReimplementation","0","0","8477","136371","107547","3","4","0","0","0","0","71","15","25","3"
"PapadopoulosReimplementation","0","0","13400","261268","235793","-64","4","0","0","0","0","69","12","28","9"
"AbaProReimplementation","0","0","7243","123632","98836","3","4","0","0","0","0","67","15","22","4"
"PapadopoulosReimplementation","0","0","20684","402410","357666","-40","4","0","0","0","0","60","30","23","8"
"AbaProReimplementation","0","0","11562","155581","120804","4","4","0","0","0","0","67","18","26","3"
"PapadopoulosReimplementation","0","0","33328","648829","578631","8","4","0","0","0","0","55","28","43","8"
"AbaProReimplementation","0","0","5387","92976","74903","3","4","0","0","0","0","60","13","21","4"
"PapadopoulosReimplementation","0","0","16513","306238","270159","-52","4","0","0","0","0","62","16","33","7"
"AbaProReimplementation","0","0","18941","271160","209622","5","4","0","0","0","0","59","30","32","3"
"PapadopoulosReimplementation","0","0","35777","596727","512585","-8","4","0","0","0","0","58","30","46","6"
"AbaProReimplementation","0","0","11005","206875","171495","4","4","0","0","0","0","58","29","19","5"
"PapadopoulosReimplementation","0","0","18935","335521","290435","-12","4","0","0","0","0","64","13","52","6"
"AbaProReimplementation","0","0","1768","29868","23507","1","4","0","0","0","0","59","2","40","3"
"PapadopoulosReimplementation","0","0","27038","469310","408707","-54","4","0","0","0","0","69","19","44","6"
"AbaProReimplementation","0","0","5164","85434","68850","4","4","0","0","0","0","63","8","29","4"
"PapadopoulosReimplementation","0","0","26768","486528","420619","4","4","0","0","0","0","66","26","36","6"
"AbaProReimplementation","0","0","11686","196449","156668","5","4","0","0","0","0","67","21","26","4"
"PapadopoulosReimplementation","0","0","18343","294807","252712","-72","4","0","0","0","0","64","12","51","6"
"AbaProReimplementation","0","0","24999","393819","314020","5","4","0","0","0","0","62","46","26","4"
"PapadopoulosReimplementation","0","0","105819","2047232","1832830","-28","4","0","0","0","0","73","47","61","8"
"AbaProReimplementation","0","0","10439","163423","130967","5","4","0","0","0","0","69","18","24","4"
"PapadopoulosReimplementation","0","0","125387","2554623","2313127","-16","4","0","0","0","0","75","50","63","9"
"AbaProReimplementation","0","0","12123","188001","148784","5","4","0","0","0","0","64","22","26","3"
"PapadopoulosReimplementation","0","0","17457","285535","239443","-4","4","0","0","0","0","64","17","39","5"
"AbaProReimplementation","0","0","5022","86074","70072","6","4","0","0","0","0","71","11","17","4"
"PapadopoulosReimplementation","0","0","43656","856136","760073","-32","4","0","0","0","0","65","26","53","8"
"AbaProReimplementation","0","0","10382","143688","107958","6","4","0","0","0","0","64","12","43","3"
"PapadopoulosReimplementation","0","0","58876","1058340","928013","-52","4","0","0","0","0","61","40","51","7"
"AbaProReimplementation","0","0","36295","517801","399164","8","4","0","0","0","0","65","42","41","3"
"PapadopoulosReimplementation","0","0","75292","1328587","1167772","-62","4","0","0","0","0","66","44","53","7"
"AbaProReimplementation","0","0","11114","181512","139720","8","4","0","0","0","0","72","13","43","3"
"PapadopoulosReimplementation","0","0","59084","1327770","1206570","-46","4","0","0","0","0","64","54","33","10"
"AbaProReimplementation","0","0","32787","486465","370878","10","4","0","0","0","0","73","37","41","3"
"PapadopoulosReimplementation","0","0","41609","949340","869775","-108","4","0","0","0","0","65","35","33","11"
"AbaProReimplementation","0","0","3394","36850","24223","10","4","0","0","0","0","68","3","56","1"
"PapadopoulosReimplementation","0","0","10097","190411","165460","-88","4","0","0","0","0","54","20","21","6"
"AbaProReimplementation","0","0","9238","171658","139247","11","4","0","0","0","0","63","22","22","4"
"PapadopoulosReimplementation","0","0","41925","861129","773406","-106","4","0","0","0","0","61","37","37","9"
"AbaProReimplementation","0","0","14655","216242","161483","12","4","0","0","0","0","63","18","46","3"
"PapadopoulosReimplementation","0","0","45490","894952","800322","-124","4","0","0","0","0","66","34","41","8"
"AbaProReimplementation","0","0","3967","67042","51979","10","4","0","0","0","0","56","5","47","3"
"PapadopoulosReimplementation","0","0","24110","428790","364715","-74","4","0","0","0","0","58","26","40","5"
"AbaProReimplementation","0","0","4493","94759","77215","11","4","0","0","0","0","60","15","18","4"
"PapadopoulosReimplementation","0","0","30598","450998","366607","-94","4","0","0","0","0","61","33","40","4"
"AbaProReimplementation","0","0","16501","282243","218837","13","4","0","0","0","0","60","30","33","3"
"PapadopoulosReimplementation","0","0","32887","640831","570636","-118","4","0","0","0","0","52","36","36","8"
"AbaProReimplementation","0","0","13455","194951","144760","14","4","0","0","0","0","58","23","36","2"
"PapadopoulosReimplementation","0","0","32965","665353","597126","-116","4","0","0","0","0","50","41","31","9"
"AbaProReimplementation","0","0","11125","163212","123000","13","4","0","0","0","0","61","17","35","3"
"PapadopoulosReimplementation","0","0","13318","271001","242360","-120","4","0","0","0","0","48","20","27","8"
"AbaProReimplementation","0","0","18600","289002","220723","13","4","0","0","0","0","62","31","33","3"
"PapadopoulosReimplementation","0","0","26484","513183","449216","-86","4","0","0","0","0","52","45","26","7"
"AbaProReimplementation","0","0","13712","197862","146871","14","4","0","0","0","0","65","20","37","2"
"PapadopoulosReimplementation","0","0","6963","135576","116583","-102","4","0","0","0","0","49","18","19","6"
"AbaProReimplementation","0","0","12851","218089","167135","13","4","0","0","0","0","71","26","25","3"
"PapadopoulosReimplementation","0","0","13171","272821","241925","-130","4","0","0","0","0","49","21","28","8"
"AbaProReimplementation","0","0","10509","194308","148411","12","4","0","0","0","0","59","24","30","3"
"PapadopoulosReimplementation","0","0","40882","908259","822455","-138","4","0","0","0","0","51","58","27","9"
