"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","0","0","4882","62973","55670","0","4","0","0","0","0","44","8","18","8"
"AbaProReimplementation","0","0","5701","107023","90738","-3","4","0","0","0","0","44","26","13","6"
"PapadopoulosReimplementation","0","0","5929","102671","91060","12","4","0","0","0","0","51","11","18","8"
"AbaProReimplementation","0","0","6654","134431","114690","-3","4","0","0","0","0","52","25","13","6"
"PapadopoulosReimplementation","0","0","4316","83725","76380","0","4","0","0","0","0","62","5","19","11"
"AbaProReimplementation","0","0","16524","298535","245992","-3","4","0","0","0","0","53","33","28","4"
"PapadopoulosReimplementation","0","0","14115","217769","183147","50","4","0","0","0","0","56","20","29","5"
"AbaProReimplementation","0","0","23321","337334","267612","-2","4","0","0","0","0","63","38","27","3"
"PapadopoulosReimplementation","0","0","33249","736289","672570","102","4","0","0","0","0","50","36","33","10"
"AbaProReimplementation","0","0","23647","333547","261302","-1","4","0","0","0","0","66","35","30","3"
"PapadopoulosReimplementation","0","0","14051","244258","212586","34","4","0","0","0","0","55","16","34","6"
"AbaProReimplementation","0","0","27102","417452","338318","-1","4","0","0","0","0","64","47","24","4"
"PapadopoulosReimplementation","0","0","17438","313678","269513","88","4","0","0","0","0","50","35","24","6"
"AbaProReimplementation","0","0","14622","193819","147859","1","4","0","0","0","0","69","22","28","3"
"PapadopoulosReimplementation","0","0","19808","410770","365803","74","4","0","0","0","0","52","25","33","8"
"AbaProReimplementation","0","0","11494","240802","206706","6","4","0","0","0","0","69","39","11","6"
"PapadopoulosReimplementation","0","0","11901","230536","200682","34","4","0","0","0","0","60","14","34","6"
"AbaProReimplementation","0","0","34629","427724","327265","4","4","0","0","0","0","67","42","34","3"
"PapadopoulosReimplementation","0","0","35973","686590","602175","50","4","0","0","0","0","58","35","39","7"
"AbaProReimplementation","0","0","8387","137837","112641","2","4","0","0","0","0","68","18","19","4"
"PapadopoulosReimplementation","0","0","34164","631806","551573","24","4","0","0","0","0","61","41","31","7"
"AbaProReimplementation","0","0","13671","230921","191297","2","4","0","0","0","0","69","28","18","5"
"PapadopoulosReimplementation","0","0","17448","305236","265594","26","4","0","0","0","0","58","21","30","6"
"AbaProReimplementation","0","0","21071","362957","296681","3","4","0","0","0","0","67","36","26","4"
"PapadopoulosReimplementation","0","0","17524","289752","249914","-12","4","0","0","0","0","65","16","36","6"
"AbaProReimplementation","0","0","8036","173195","146988","0","4","0","0","0","0","60","22","18","5"
"PapadopoulosReimplementation","0","0","31128","489550","408069","4","4","0","0","0","0","71","23","47","5"
"AbaProReimplementation","0","0","9934","238795","204694","0","4","0","0","0","0","53","32","18","6"
"PapadopoulosReimplementation","0","0","3438","58999","48350","0","4","0","0","0","0","59","6","26","4"
"AbaProReimplementation","0","0","16133","431093","374733","2","4","0","0","0","0","61","43","20","6"
"PapadopoulosReimplementation","0","0","6994","141857","123207","22","4","0","0","0","0","64","11","25","6"
"AbaProReimplementation","0","0","10783","281703","245776","-2","4","0","0","0","0","60","39","14","7"
"PapadopoulosReimplementation","0","0","12821","240628","205039","70","4","0","0","0","0","68","13","39","5"
"AbaProReimplementation","0","0","9931","226729","193179","-6","4","0","0","0","0","61","23","22","6"
"PapadopoulosReimplementation","0","0","8834","140140","112284","88","4","0","0","0","0","70","8","43","4"
"AbaProReimplementation","0","0","10159","357964","322940","-4","4","0","0","0","0","60","41","13","9"
"PapadopoulosReimplementation","1","0","7312","86713","61926","202","4","0","0","0","0","72","7","46","2"
"AbaProReimplementation","1","0","8819","195657","161803","-97","4","0","0","0","0","66","14","35","4"
"PapadopoulosReimplementation","1","0","12186","341701","317372","882","4","0","0","0","0","67","16","20","13"
"AbaProReimplementation","1","0","8100","198356","166691","-96","4","0","0","0","0","63","18","26","5"
"PapadopoulosReimplementation","1","0","13166","325467","295342","818","4","0","0","0","0","71","17","22","10"
"AbaProReimplementation","1","0","6800","149508","124742","-99","4","0","0","0","0","65","16","22","5"
"PapadopoulosReimplementation","1","0","7826","173622","154179","894","4","0","0","0","0","65","7","36","8"
"AbaProReimplementation","1","0","9094","290092","255072","-97","4","0","0","0","0","68","29","16","7"
"PapadopoulosReimplementation","2","0","3976","58076","44377","926","4","0","0","0","0","63","6","33","3"
"AbaProReimplementation","2","0","4022","71442","54577","-190","4","0","0","0","0","64","8","30","3"
"PapadopoulosReimplementation","2","0","26375","669942","600931","1626","4","0","0","0","0","54","46","26","9"
"AbaProReimplementation","2","0","8135","126531","96029","-189","4","0","0","0","0","66","13","32","3"
"PapadopoulosReimplementation","2","0","6827","150079","128106","1604","4","0","0","0","0","49","20","20","6"
"AbaProReimplementation","2","0","12287","204361","152990","-187","4","0","0","0","0","64","20","38","3"
"PapadopoulosReimplementation","2","0","20417","477603","410857","1616","4","0","0","0","0","49","36","36","6"
"AbaProReimplementation","2","0","7159","119781","91705","-188","4","0","0","0","0","61","14","30","3"
"PapadopoulosReimplementation","2","0","12335","275559","238208","1604","4","0","0","0","0","52","19","36","6"
"AbaProReimplementation","2","0","1341","14946","9650","-189","4","0","0","0","0","56","2","40","1"
"PapadopoulosReimplementation","2","0","4678","106666","91992","1596","4","0","0","0","0","41","15","22","6"
"AbaProReimplementation","2","0","2920","50667","38845","-186","4","0","0","0","0","56","7","25","3"
"PapadopoulosReimplementation","2","0","3503","80199","68554","1592","4","0","0","0","0","40","10","26","6"
"AbaProReimplementation","2","0","1584","26946","19816","-185","4","0","0","0","0","50","5","24","2"
"PapadopoulosReimplementation","2","0","5766","160936","144824","1588","4","0","0","0","0","40","20","18","9"
"AbaProReimplementation","2","0","2020","38281","29471","-184","4","0","0","0","0","53","5","29","3"
"PapadopoulosReimplementation","2","0","10467","278711","252350","1560","4","0","0","0","0","47","33","15","10"
"AbaProReimplementation","2","0","2130","50035","40475","-184","4","0","0","0","0","58","7","21","4"
"PapadopoulosReimplementation","2","0","23924","591646","526425","1548","4","0","0","0","0","46","50","27","8"
"AbaProReimplementation","2","1","3054","87104","73627","-186","4","0","0","0","0","56","21","10","6"
